id,Name,Batch,Sector,Region,Company_Desc,Founding_Date,Founders,Incubator,Location,Source_Url,Company_Url
11,Friday,F24,"ARTIFICIAL-INTELLIGENCE, PRODUCTIVITY, EMAIL, AI-ASSISTANT",SAN FRANCISCO,"Email sucks. It takes forever to go through, and hiring an assistant is costly and invasive. Friday is building the assistant that learns how to predict the action that you will take on your emails, and does it for you.

Today's email products try to help you go through your emails a little faster, but if you have to get through 1000 emails, those products doesn't do much for you. 

The reality is, most of the emails you get don't require you to personally look at them. Friday completely eliminates the need to check those emails, and handles them all at once for you, immediately. 

Friday is here to file away spam, sift through newsletters for important tidbits, text you important notifications, and reply to mundane emails, so that no matter how many thousands of emails are in your inbox, you'll just be left with the few emails that actually require your personal touch.

Getting this right is difficult, so everyone else settles with trying to help you go through your email twice as fast. If you want to go 100x as fast, you shouldn't spend even a second on useless emails. 

Friday gets this right, bringing the elite experience of having a professional assistant to the entire world.",2024,"Allen Naliath, Founder, CEO We're building the perfect virtual assistant for your email. I get rejected daily, I write great emails, and I'm a beekeeper.| Advait Paliwal, Founder, CTO We're building the perfect virtual assistant for your email. I memorized my dad's credit card to start a 6 figure reselling business and I built a viral AI tutor with 1M+ users.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/friday,https://www.fridaymail.ai/
12,SRE.ai,F24,"DEVELOPER-TOOLS, B2B, DEVOPS, INFRASTRUCTURE, AI",SAN FRANCISCO,"SRE.ai provides AI Agents to power Low-Code DevOps for Low-Code Platforms like Salesforce, SAP, NetSuite, etc.",2024,"Raj Kadiyala, Co-Founder & CEO Currently building SRE.ai, previously at Google/DeepMind| Edward Aryee, Co-Founder & CTO Currently building SRE.ai, previously at Google Research",Y Combinator,San Francisco,https://www.ycombinator.com/companies/sre-ai,https://sre.ai/
13,Ryvn,F24,"AIOPS, DEVELOPER-TOOLS, SAAS, DEVOPS, INFRASTRUCTURE",SAN FRANCISCO,"Ryvn manages the infrastructure for your applications in your cloud or your customer's cloud. We handle deploying and rolling out updates, provide aggregated logging and monitoring, and offer one-click rollbacks. Expand into regulated industries, accelerate time-to-PoCs, and boost revenue by offering on-prem/self-hosted without the added complexity.

Build once, deploy anywhere.",2024,"Albert Lam, Founder/CEO CEO at Ryvn, making on-prem deployment, monitoring, and management simple. Previously led Palantir's wildfire prevention and disaster response products that helped to reduce YoY wildfire damage by 99% in Northern CA.| Shardool Patel, Founder/CTO CTO at Ryvn, building deployment infrastructure to help companies deploy to multi-cloud. Previously led an engineering team at Palantir and helped scale the internal deployment platform to a $20M ARR product.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/ryvn,https://ryvn.ai/
14,Melder,F24,"GENERATIVE-AI, SUPPLY-CHAIN, PROCUREMENT, DATA-ENGINEERING, AI",NEW YORK,We automate the painful parts of supplier data integration - from PDF extraction to duplicate matching to spend analysis - and surface opportunities that are usually buried in unstructured data,2024,"Ashwin Dharne, Founder Building AI tools for supply chain teams. Ex-Google engineer that worked on security and conversational AI.| Philip Brewer, Founder Building AI tools for supply chain teams.  Ex-Bain consultant helping dozens of F500s improve their operations",Y Combinator,New York,https://www.ycombinator.com/companies/melder,https://melder.io/
15,Fix AI,F24,"ARTIFICIAL-INTELLIGENCE, DEVELOPER-TOOLS, AI",SAN FRANCISCO,"Fix AI automates frontend QA testing using AI agents that simulate real users on websites. With simple natural language prompts, e.g. ""make sure the onboarding flow works"", our agents walk through flows and visually interact with the site to ensure critical bugs never reach users.",2024,"Arav Seth, Founder Worked at a startup backed by Daniel Gross building LLM applications. Created an app for my campus that got 80k+ user sessions.  Currently at Fix AI building autonomous agents that test user websites.| Kesav Kosana, Founder Previously worked at a startup backed by Daniel Gross building LLM applications. Then worked on data engineering at Legalist (YC S16).  Currently at Fix AI building autonomous agents that test user websites.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/fix-ai,https://tryfix.ai/
16,Foundry,F24,"ARTIFICIAL-INTELLIGENCE, DEVELOPER-TOOLS, WORKFLOW-AUTOMATION, NO-CODE, AUTOMATION",SAN FRANCISCO,"Foundry is the AWS for AI agents, providing startups with the core infrastructure to build, evaluate, and improve their agents.

Our first product is a best-in-class, human-in-the-loop eval system that delivers up to 40% higher accuracy than standalone evals. It helps teams pinpoint failure points, optimize performance, and ensure agents improve over time.

Pranav and I previously worked at Scale AI, helping top AI labs like OpenAI improve their models. Now, we’re building the infrastructure startups need to succeed in the agent-driven future.",2024,"Manil Lakabi, Founder Manil was an operator on the Gen AI team at Scale AI, where he led language data projects that generated millions in revenue and enabled top AI labs to evaluate and improve their AI models. Before that, he worked at Meta, where he helped launch the Meta Quest 2 to over 10M users.| Pranav Raja, Founder Machine Learning Research Engineer on the Gen AI team as Scale. Conducted research to investigate novel forms of human supervision to evaluate and improve models. Created production ML applications to optimize throughput and efficiency of Scale’s data labeling pipelines. Was a large part of SEAL leaderboards at Scale (I ran the agentic tool use research)",Y Combinator,San Francisco,https://www.ycombinator.com/companies/foundry,https://www.thefoundryai.com/
17,Forerunner AI,F24,"ARTIFICIAL-INTELLIGENCE, MANUFACTURING, AEROSPACE",SAN FRANCISCO,"Forerunner is your aerospace, defense, and hardware engineering copilot, helping you beat tight deadlines by automating critical engineering workflows. Our secure AI agents access data from tools like Atlassian Suite and Microsoft Office, then collaborate with hardware engineers to accelerate design and analysis.",2024,"Yash Kadadi, Founder Prev. Software/Autonomy/ML at Anduril, SpaceX, and NASA | Stanford BS CS '25, MS CS '26 (on leave)| Will Nida, Founder Stanford BS '25 (Physics + CS). Prev. Starship Propulsion Engineering @ SpaceX, Plasma Propulsion Research @ Stanford",Y Combinator,San Francisco,https://www.ycombinator.com/companies/forerunner-ai,https://tryforerunner.com/
18,OpenClinic,F24,"HEALTH-TECH, DIGITAL-HEALTH, HEALTHCARE",SAN FRANCISCO,"OpenClinic is a platform that makes it easy for any doctor or hospital to open their own digital clinic. Our AI assistant takes a comprehensive medical history using an empathic voice-based interface, uses sophisticated medical reasoning to narrow down likely diagnoses, and produces evidence-based treatment suggestions for each patient. Licensed doctors then review the text-based summaries of the cases our AI provides, and choose how to manage the patients. In this fashion, we're able to deliver end-to-end healthcare where AI manages 99%, and doctors do the final high value 1%.",2024,"Riyan Moussaoui, Founder Co-founder @ OpenClinic |  Medical Doctor // Prev. Senior AI engineer at Anterior automating prior auth.| Nabil Belahouane, Co-Founder Co-Founder @ OpenClinic| Hassan Mirza, Founder Co-Founder @ OpenClinic| Usama Syed, Founder Co-Founder @ OpenClinic  | Building the future of healthcare with OpenClinic (YC F24). Digital medical clinics that are 99% AI, 1% doctor |  Medical and business school graduate from Imperial College London, board-certified dermatologist, and faculty member at Mount Sinai, NYC. Medical content creator with 300,000+ followers across YouTube, Instagram, and X, and built an AI-powered skincare database providing personalized skin advice (www.heystratum.com).",Y Combinator,San Francisco,https://www.ycombinator.com/companies/openclinic,https://www.tryopenclinic.com/
19,Bramble,F24,"ARTIFICIAL-INTELLIGENCE, REAL-ESTATE, CONSUMER, PROPTECH, CONSUMER-PRODUCTS",SAN FRANCISCO,"Bramble is a video-first search platform for real estate, powered by AI. It helps agents auto-generate beautiful video listings and helps buyers search videos of homes for what they actually care about, like natural light or a big yard.

We launched 2 months ago as a flat-rate real estate brokerage. We now have 6 accepted offers and have learned that lead generation is the biggest problem in real estate. By helping agents market their listings with videos and allowing buyers to find homes visually, we will disrupt property search sites like Zillow.",2024,"Nimesh Chakravarthi, Founder Nimesh is a Co-Founder at Bramble, building the new way to find a home. He graduated EECS at Berkeley and is a former engineering leader at LinkedIn, bringing 8 years of building consumer tech products to the real estate industry.| Daniel Hsu, Founder Danny is building Bramble, the next-gen Zillow. He previously led eng teams at LinkedIn; drove 10k++ extra DAUs on launch with the single highest-engagement feature at Mango Health (acq. TrialCard); and built a 1k-DAU app as co-founder of the 5-person team at Mash Music (Berkeley Venture Labs). He attended the University of California, Berkeley for Computer Science.| Deepan Mehta, Founder Deepan is making home buying cheaper, easier, and smarter at Bramble.   Previously he spent 4 years as a Sr. PM at LinkedIn, where he launched an AI-powered revamp of messaging, video posting, and messaging stories while driving 10s of millions in ARR. Before that, he launched LiveRamp's first self-serve distribution UXs and APIs. He graduated from Georgia Tech with a BS in computer science and is a Mexican Pizza enthusiast.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/bramble,https://usebramble.com/
20,Surge,F24,"SAAS, API, NO-CODE, SMS, TELECOMMUNICATIONS",,"Surge is Stripe for telephony. Our team has experience building telephony software at billion dollar scale. Because of increased regulation, Twilio and other SMS APIs take weeks to onboard new customers, but we can get startups onboarded same day. Surge will win the market by enabling easy carrier registration and keeping customers with our higher level APIs and no code UI components. We have 11 paying customers so far, and our revenue is growing 58% month over month.",2024,"Dennis Beatty, Founder Founder/CEO at Surge (F24), the easiest way for developers to send text messages. Formerly principal engineer over payments at Entrata and early engineer at Podium (W16) where I was a tech lead and senior engineer over the messaging platform and led engineering for the SMS payments product that reached a $2B run rate in year 2.| Brett Beatty, Founder Co-Founder/CTO at Surge (F24), the easiest way to add text messaging to software. Prior to Surge, I spent six years at Podium (W16) where I was a senior engineer on the Phones team and the account structure team, building the APIs upon which the rest of Podium's products were built. I was very focused on providing five nines of uptime and sub-millisecond response times.",Y Combinator,"Lehi, UT",https://www.ycombinator.com/companies/surge,https://surgemsg.com/
21,Sunset,F24,"FINTECH, CONSUMER-FINANCE",,"Sunset can track down bank accounts, retirement accounts, investment accounts, property and more for families after losing a loved one. Sunset will close those accounts and move the money into a Sunset estate account to manage.",2024,"Stephen Walter, Founder https://www.sunsetapp.com/| Kaela Worthen, Founder Cofounder of Sunset, finding and moving funds after you lose a loved one. Previously cofounded Paintbrush, Imzy, worked at Podium, Reddit. Mostly a product person with some engineering, UX, data science, and a bit everything else mixed in.",Y Combinator,,https://www.ycombinator.com/companies/sunset,https://www.sunsetapp.com/
22,ArchiLabs,F24,"ARTIFICIAL-INTELLIGENCE, SAAS, CONSTRUCTION, B2B, PROPTECH",SAN FRANCISCO,"ArchiLabs is building an AI co-pilot for architecture. Instead of spending hours on tedious tasks, architects can 10x their design speed with simple AI prompts.

Brian and William met at Carnegie Mellon as engineers and separately had their own frustrating new construction experiences. Brian ran a tech-enabled homebuilding factory and found the design iteration process to be a massive bottleneck, while William built ground up homes in Texas and had a similar frustration. However, at the time, there wasn't an easy solution to the many pain points in the design process.

As AI reasoning models improve, Brian and William realized that there was a massive opportunity to fix the long-tail of frustrations and build a new construction design experience by fine tuning existing models, becoming bigger than Autodesk, the $60B company in the space.",2024,"Brian Bakerman, Founder Brian is the co-founder & CEO of ArchiLabs. Previously Brian built and sold an AI transcription startup that reached 1 million transcriptions/mo and ran a YC-backed tech-enabled homebuilding factory that scaled to a $10.6M contracted revenue run rate. Brian graduated with a degree in Electrical & Computer Engineering from Carnegie Mellon.| William Meng, Founder William is the co-founder & CTO of ArchiLabs. Previously, William ran an independent homebuilding business in Texas and built his own CAD tool from scratch. Before that, William studied Computer Science and Robotics at Carnegie Mellon and worked as a software engineer at Facebook.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/archilabs,https://archilabs.ai/
23,Revi,F24,"GENERATIVE-AI, B2B, SALES, ENTERPRISE-SOFTWARE",SAN FRANCISCO,"Revi helps Investment Banks, PE firms, and Corporate Development teams source new deals.

We do this by using agentic workflows to replicate their end-to-end deal origination process, entirely removing the trade-off between precision and scalability.

We released the first version of Revi in September 2023 and now have companies like KPMG and platforms backed by KKR and Nordic Capital using our product.",2023,"Max Nuyen, Co-founder Co-founder of Revi - a deal origination software for investment banks, PE firms, and corporate development teams.| Benjamin McKinzey, Co-Founder Co-founder of Revi - a deal origination software for investment banks, PE firms, and corporate development teams.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/revi,https://www.revi.ai/
24,Metreecs,F24,"ARTIFICIAL-INTELLIGENCE, MACHINE-LEARNING, RETAIL-TECH",,"Metreecs helps retailers plan, buy, and allocate products using AI-demand forecasting. We prevent overstock and out-of-stock situations, allowing clients to eliminate waste, free up capital, and drive higher sales.",2024,"Martin Dimitrov, Founder Co-Founder and COO of Metreecs. Previously led the international expansion of Lydia in Italy, before moving into early stage venture capital where I invested in AI and B2B SaaS startups.| Elie Dufeu, Founder Co-Founder and CTO of Metreecs. Previously graduated from École Polytechnique in Applied Mathematics and Columbia in Data Science, and developed forecasting models for financial institutions.| Thibaut Pellegrin, Founder Co-Founder and CEO of Metreecs. Previously co-founded a leather bag company before moving to consulting and growth equity specialised in B2B SaaS.",Y Combinator,,https://www.ycombinator.com/companies/metreecs,https://www.metreecs.com/
25,Diffusion Studio,F24,"ARTIFICIAL-INTELLIGENCE, CONSUMER, VIDEO, MEDIA, AI",SAN FRANCISCO,"Diffusion Studio is Canva for video editing, we allow anyone to import video footage they have taken and our AI will generate a publish-ready video. We have achieved this only now because we replace heavyweight desktop apps with the newly released WebCodecs and WebGPU web APIs, that enable hardware-accelerated encoding in the Browser.",2023,"Konstantin Paulus, Founder Previously, I worked at Rohde & Schwarz in Munich (Germany), specializing in mid-range spectrum analyzers while mastering C++ and TypeScript. I'm highly product-driven and passionate about UI/UX design. Alongside my professional work, I’ve built an engaged audience of over 100k across social media through my content creation efforts.| Matthias Ruiz, Founder Born and raised in Munich, I earned a bachelor’s degree in cs and a master’s degree in AI at the Technical University of Munich. During my master’s program, I founded a startup called Traffic Intelligence, focusing on innovative traffic management solutions. My professional journey has taken me across Europe, starting with at Microsoft in Dublin, followed by Amazon in Barcelona, Spain. I later founded a software consultancy Blue Chestnut before joining Diffusion Studio as a co-founder.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/diffusion-studio,https://diffusion.studio/
26,Chorrie,F24,"GENERATIVE-AI, SAAS, B2B, HEALTHCARE, BILLING",NEW YORK,"Chorrie is a no-code platform that puts AI in the hands of medical billing teams to prevent denied and under-billed insurance claims. We use LLMs to empower billing teams to turn their manual claim QA into automated correctness checks. Co-founders Chris and Jorrie are MIT computer science grads and went on to work at Google, where they used similar applied AI techniques to automate content moderation workflows and prevent real-world threats. Within a month of launching with our first client, an ophthalmology practice with 8 clinics and 4 surgery centers, Chorrie has already flagged over $300k of claims that were either under-billed, or would've been denied. Learn more at www.chorrie.com.",2024,"Christopher Schlaepfer, Founder Co-Founder and CEO of Chorrie. Eliminating rejected, denied, and under-billed medical claims with AI.| Jorrie Brettin, Founder Co-founder at Chorrie where we help subject matter experts write unit tests for their medical coding and billing workflows.",Y Combinator,New York,https://www.ycombinator.com/companies/chorrie,https://chorrie.com/
27,Alex,F24,,,"Tired of switching tabs to cursor every time you're building your iOS app in Xcode?

Worry not!

Alex is a sidebar app that works directly with Xcode, and has the same Cmd+L, Cmd+K, and Apply Code commands as Cursor. And, it's super fast.

Check it out: https://alexcodes.app",2024,"Daniel Edrisian, Founder I'm an iOS Engineer, formerly built the iOS app for ElevenLabs and was a founding engineer at FlutterFlow (YC W21). Prior to that, I interned at Apple, Meta, and Google.",Y Combinator,,https://www.ycombinator.com/companies/alex,https://alexcodes.app/
28,Gander,F24,"ARTIFICIAL-INTELLIGENCE, SAAS, CUSTOMER-SUPPORT",NEW YORK,"Gander is bringing LLMs to the airline industry starting with customer service. Our first products help airlines automate the process of calculating compensation for flight disruptions and baggage issues, while our proactive voice agent calls customers to get them on a new flight when they are delayed or cancelled.",2024,"Arjan Guglani, Founder Building LLMs for the Aviation Industry. Prev United, American, and Insight Partners| Andrew Dixon, Founder Andrew is the Co-Founder and CTO of Gander. Previously he worked as a software engineer in Microsoft Azure building low-latency compute infrastructure. His first startup, UniFlow, provided remote campus engagement software for tens of thousands of college students during Covid.",Y Combinator,New York,https://www.ycombinator.com/companies/gander,https://usegander.com/
29,Innate,F24,"GENERATIVE-AI, HARD-TECH, ROBOTICS, CONSUMER, AI-ASSISTANT",PALO ALTO,"Innate is developing teachable home robots.
Our robots navigate, perform physical tasks, interact and understand the world on their own, and users can teach entirely new behaviors quickly to get the help they need from the robots

Our first product, Maurice, is tailored for builders of Silicon Valley to quickly develop on top of and play with the state of the art in Embodied AGI.",2024,"Axel Peytavin, Founder Building robots that feel alive. Stanford researcher in AI & Social Media and Human-Computer Interaction. MS in Applied Maths. Ex-founder of a media annotation platform. Ex-researcher at The Ocean Cleanup.| Vignesh Anand, Founder Former Stanford robotics graduate student. Former flight sciences intern at Archer. Also built high-powered rockets and underwater robots. Currently building the future of embodied AI with Innate",Y Combinator,Palo Alto,https://www.ycombinator.com/companies/innate,https://innate.bot/
30,Scrapybara,F24,"DEVELOPER-TOOLS, API, INFRASTRUCTURE, AI",SAN FRANCISCO,"Scrapybara provides virtual computer environments for AI agents. We deploy, scale, and maintain remote desktop instances that agents like Claude Computer Use can interact with via an API.",2024,"Nalin Semwal, Founder co-founder @ scrapybara. ₍ᐢ•(ܫ)•ᐢ₎ I did LLM Agent Research at Georgia Tech and then at MultiOn. I'm now building Scrapybara (F24)| Justin Sun, Founder scrapybara ₍ᐢ•(ܫ)•ᐢ₎ prev eng @ multion, cs @ upenn m&t",Y Combinator,San Francisco,https://www.ycombinator.com/companies/scrapybara,https://scrapybara.com/
31,Consus,F24,"GOVTECH, AEROSPACE",SAN FRANCISCO,"Consus is your single source of truth for government specifications, standards, or handbooks. We verify the active revision of documents, notify you when documents are updated, and make it easy to extract the relevant information. Win new business or execute existing contracts faster with Consus.",2024,"Eric Magliarditi, Founder Let's transform government requirements.   I spent most of my career launching government satellites at SpaceX. Before that, I wrote software to analyze satellite constellations and built computer vision models at MIT.",Y Combinator,San Francisco,https://www.ycombinator.com/companies/consus,https://www.consusindustries.co/
32,CollectWise,F24,"ARTIFICIAL-INTELLIGENCE, FINTECH, GENERATIVE-AI, FINANCE, LEGALTECH",,"CollectWise automates consumer debt collection with AI. We’re outperforming collection firms by 2X and have successfully serviced over $2 million in debts.

Our platform handles the entire late-stage recovery process, allowing creditors to recover debts that couldn’t be resolved through voluntary communications. CollectWise's AI agents automate pre-legal outreach, asset research, litigation, credit reporting, and enforcement actions like garnishments and liens.",2024,"Sean OBrien, Founder I'm the co-founder and CEO of CollectWise. Before CollectWise, I scaled a digital agency to six figures in annual revenue, ran another fintech startup, and studied Computer Science & Finance at the University of Virginia.| Vivek Isukapalli, Founder I’m the Co-Founder and CTO of CollectWise. In the past, I developed Fintech and AI products and studied Information Systems at Carnegie Mellon University.",Y Combinator,,https://www.ycombinator.com/companies/collectwise,https://collectwise.com/
